role=RED,type=PAWN,location.x=0,location.y=6
role=RED,type=ROOK,location.x=0,location.y=9
role=RED,type=CANNON,location.x=1,location.y=7
role=RED,type=KNIGHT,location.x=1,location.y=9
role=RED,type=PAWN,location.x=2,location.y=6
role=RED,type=BISHOP,location.x=2,location.y=9
role=RED,type=GUARD,location.x=3,location.y=9
role=RED,type=PAWN,location.x=4,location.y=6
role=RED,type=KING,location.x=4,location.y=9
role=RED,type=GUARD,location.x=5,location.y=9
role=RED,type=PAWN,location.x=6,location.y=6
role=RED,type=BISHOP,location.x=6,location.y=9
role=RED,type=CANNON,location.x=7,location.y=7
role=RED,type=KNIGHT,location.x=7,location.y=9
role=RED,type=PAWN,location.x=8,location.y=6
role=RED,type=ROOK,location.x=8,location.y=9
role=BLACK,type=ROOK,location.x=0,location.y=0
role=BLACK,type=PAWN,location.x=0,location.y=3
role=BLACK,type=KNIGHT,location.x=1,location.y=0
role=BLACK,type=CANNON,location.x=1,location.y=2
role=BLACK,type=BISHOP,location.x=2,location.y=0
role=BLACK,type=PAWN,location.x=2,location.y=3
role=BLACK,type=GUARD,location.x=3,location.y=0
role=BLACK,type=KING,location.x=4,location.y=0
role=BLACK,type=PAWN,location.x=4,location.y=3
role=BLACK,type=GUARD,location.x=5,location.y=0
role=BLACK,type=BISHOP,location.x=6,location.y=0
role=BLACK,type=PAWN,location.x=6,location.y=3
role=BLACK,type=KNIGHT,location.x=7,location.y=0
role=BLACK,type=CANNON,location.x=7,location.y=2
role=BLACK,type=ROOK,location.x=8,location.y=0
role=BLACK,type=PAWN,location.x=8,location.y=3
